Finals,Golden State Warriors over Cleveland Cavaliers  (4-0),Series Stats
,,
Eastern Conference Finals,Cleveland Cavaliers over Boston Celtics  (4-3),Series Stats
Western Conference Finals,Golden State Warriors over Houston Rockets  (4-3),Series Stats
,,
Eastern Conference Semifinals,Boston Celtics over Philadelphia 76ers  (4-1),Series Stats
Eastern Conference Semifinals,Cleveland Cavaliers over Toronto Raptors  (4-0),Series Stats
Western Conference Semifinals,Golden State Warriors over New Orleans Pelicans  (4-1),Series Stats
Western Conference Semifinals,Houston Rockets over Utah Jazz  (4-1),Series Stats
,,
Eastern Conference First Round,Boston Celtics over Milwaukee Bucks  (4-3),Series Stats
Eastern Conference First Round,Cleveland Cavaliers over Indiana Pacers  (4-3),Series Stats
Eastern Conference First Round,Philadelphia 76ers over Miami Heat  (4-1),Series Stats
Eastern Conference First Round,Toronto Raptors over Washington Wizards  (4-2),Series Stats
Western Conference First Round,Golden State Warriors over San Antonio Spurs  (4-1),Series Stats
Western Conference First Round,Houston Rockets over Minnesota Timberwolves  (4-1),Series Stats
Western Conference First Round,New Orleans Pelicans over Portland Trail Blazers  (4-0),Series Stats
Western Conference First Round,Utah Jazz over Oklahoma City Thunder  (4-2),Series Stats
